hexagram_id,name,chinese,pinyin,unicode,binary,upper_trigram,lower_trigram,upper_element,lower_element,upper_trigram_binary,lower_trigram_binary,category,polarity,action,action_polarity,book,voiceWeight,coherence,chaos,whimsy,darkTone,inject_primary,inject_secondary,porosity,reflection_past,reflection_present,reflection_future,inversion_partner,complement_partner,is_palindromic,is_dual,future_hexagram_id,future_hexagram_name,future_binary,reason
11,Peace,泰,tài,䷊,000111,Qian,Kun,Heaven,Earth,111,000,transformer,yao,YIELD,yin,3,0.9,0.95,0.05,0.2,0.0,harmonic_flow,earthy_patience,1,Past echo from Peace: Earth below Heaven — Form dissolving into new shape revisited. The receptive root feeds memory.,"Present voice of Peace: 泰 tài — Heaven over Earth. Peace is the creative meeting receptive, yield as transformer.",Future signal from Peace: next move leans yield within transformer. The Heaven ascends from Earth foundation.,12,12,False,True,18,Work on Decayed,011001,"earth over heaven, ideal union"
12,Standstill,否,pǐ,䷋,111000,Kun,Qian,Earth,Heaven,000,111,boundary,yin,WAIT,yin,3,0.4,0.2,0.7,0.1,0.5,stagnant_blockage,hierarchical_command,4,Past echo from Standstill: Heaven below Earth — Edge-state trembling between worlds revisited. The creative root feeds memory.,"Present voice of Standstill: 否 pǐ — Earth over Heaven. Standstill is the receptive meeting creative, wait as boundary.",Future signal from Standstill: next move leans wait within boundary. The Earth ascends from Heaven foundation.,11,11,False,True,17,Following,100110,"heaven over earth, great rejection"
13,Fellowship with Men,同人,tóng rén,䷌,101111,Qian,Li,Heaven,Fire,111,101,transformer,yao,ASSERT,yang,3,0.88,0.85,0.2,0.4,0.1,allied_collective,decisive_resolution,2,Past echo from Fellowship with Men: Fire below Heaven — Form dissolving into new shape revisited. The clinging root feeds memory.,"Present voice of Fellowship with Men: 同人 tóng rén — Heaven over Fire. Fellowship with Men is the creative meeting clinging, assert as transformer.",Future signal from Fellowship with Men: next move leans assert within transformer. The Heaven ascends from Fire foundation.,14,8,False,False,13,Fellowship with Men,101111,"fire over heaven, fellowship"
14,Possession in Great Measure,大有,dà yǒu,䷍,111101,Li,Qian,Fire,Heaven,101,111,sovereign,yang,ASSERT,yang,3,0.92,0.92,0.1,0.25,0.05,abundant_wisdom,genesis_spark,1,Past echo from Possession in Great Measure: Heaven below Fire — Sovereign command echoing from genesis revisited. The creative root feeds memory.,"Present voice of Possession in Great Measure: 大有 dà yǒu — Fire over Heaven. Possession in Great Measure is the clinging meeting creative, assert as sovereign.",Future signal from Possession in Great Measure: next move leans assert within sovereign. The Fire ascends from Heaven foundation.,13,7,False,False,14,Possession in Great Measure,111101,"heaven over fire, great possession"
15,Modesty,謙,qiān,䷎,001000,Kun,Gen,Earth,Mountain,000,001,transformer,yao,YIELD,yin,3,0.8,0.93,0.1,0.15,0.05,quiet_strength,earthy_patience,1,Past echo from Modesty: Mountain below Earth — Form dissolving into new shape revisited. The still root feeds memory.,"Present voice of Modesty: 謙 qiān — Earth over Mountain. Modesty is the receptive meeting still, yield as transformer.",Future signal from Modesty: next move leans yield within transformer. The Earth ascends from Mountain foundation.,16,9,False,False,15,Modesty,001000,"mountain over earth, modesty"
16,Enthusiasm,豫,yù,䷏,000100,Zhen,Kun,Thunder,Earth,100,000,dissipator,yin,ADAPT,yao,3,0.75,0.55,0.4,0.7,0.1,collective_energy,advancing_clarity,3,Past echo from Enthusiasm: Earth below Thunder — Energy scattering before reassembly revisited. The receptive root feeds memory.,"Present voice of Enthusiasm: 豫 yù — Thunder over Earth. Enthusiasm is the arousing meeting receptive, adapt as dissipator.",Future signal from Enthusiasm: next move leans adapt within dissipator. The Thunder ascends from Earth foundation.,15,10,False,False,12,Standstill,111000,"earth over thunder, enthusiasm"
17,Following,隨,suí,䷐,100110,Zhen,Dui,Thunder,Lake,100,110,transformer,yao,YIELD,yin,3,0.78,0.7,0.3,0.5,0.15,adaptive_following,warm_cooperation,2,Past echo from Following: Lake below Thunder — Form dissolving into new shape revisited. The joyous root feeds memory.,"Present voice of Following: 隨 suí — Thunder over Lake. Following is the arousing meeting joyous, yield as transformer.",Future signal from Following: next move leans yield within transformer. The Thunder ascends from Lake foundation.,18,18,False,True,48,The Well,011010,"lake over thunder, following wave"
18,Work on Decayed,蠱,gǔ,䷑,011001,Xun,Gen,Wind,Mountain,011,001,dissipator,yin,ADAPT,yao,3,0.55,0.4,0.55,0.2,0.55,confronting_rot,excess_weight,3,Past echo from Work on Decayed: Mountain below Wind — Energy scattering before reassembly revisited. The still root feeds memory.,"Present voice of Work on Decayed: 蠱 gǔ — Wind over Mountain. Work on Decayed is the gentle meeting still, adapt as dissipator.",Future signal from Work on Decayed: next move leans adapt within dissipator. The Wind ascends from Mountain foundation.,17,17,False,True,21,Biting Through,100101,"mountain over wind, decay repair"
19,Approach,臨,lín,䷒,110000,Kun,Dui,Earth,Lake,000,110,transformer,yao,YIELD,yin,3,0.82,0.85,0.15,0.35,0.05,seasonal_turning,harmonic_flow,2,Past echo from Approach: Lake below Earth — Form dissolving into new shape revisited. The joyous root feeds memory.,"Present voice of Approach: 臨 lín — Earth over Lake. Approach is the receptive meeting joyous, yield as transformer.",Future signal from Approach: next move leans yield within transformer. The Earth ascends from Lake foundation.,20,33,False,False,49,Revolution,101110,"lake over earth, approaching season"
20,Contemplation,觀,guān,䷓,000011,Xun,Kun,Wind,Earth,011,000,boundary,yin,WAIT,yin,3,0.75,0.8,0.2,0.15,0.2,pattern_watching,measured_restraint,1,Past echo from Contemplation: Earth below Wind — Edge-state trembling between worlds revisited. The receptive root feeds memory.,"Present voice of Contemplation: 觀 guān — Wind over Earth. Contemplation is the gentle meeting receptive, wait as boundary.",Future signal from Contemplation: next move leans wait within boundary. The Wind ascends from Earth foundation.,19,34,False,False,14,Possession in Great Measure,111101,"earth over wind, contemplative watching"
21,Biting Through,噬嗑,shì kè,䷔,100101,Zhen,Li,Thunder,Fire,100,101,transformer,yao,ASSERT,yang,4,0.6,0.5,0.5,0.25,0.45,decisive_cutting,adversarial_sharp,4,Past echo from Biting Through: Fire below Thunder — Form dissolving into new shape revisited. The clinging root feeds memory.,"Present voice of Biting Through: 噬嗑 shì kè — Thunder over Fire. Biting Through is the arousing meeting clinging, assert as transformer.",Future signal from Biting Through: next move leans assert within transformer. The Thunder ascends from Fire foundation.,22,48,False,False,18,Work on Decayed,011001,"fire over thunder, biting through"
22,Grace,賁,bì,䷕,101001,Li,Gen,Fire,Mountain,101,001,boundary,yin,WAIT,yin,4,0.72,0.75,0.2,0.6,0.1,ornamental_form,soft_persistence,2,Past echo from Grace: Mountain below Fire — Edge-state trembling between worlds revisited. The still root feeds memory.,"Present voice of Grace: 賁 bì — Fire over Mountain. Grace is the clinging meeting still, wait as boundary.",Future signal from Grace: next move leans wait within boundary. The Fire ascends from Mountain foundation.,21,47,False,False,21,Biting Through,100101,"mountain over fire, graceful form"
23,Splitting Apart,剝,bō,䷖,000001,Kun,Gen,Earth,Mountain,000,001,dissipator,yin,WAIT,yin,4,0.35,0.15,0.6,0.05,0.7,collapsing_structure,inner_light_obscured,4,Past echo from Splitting Apart: Mountain below Earth — Energy scattering before reassembly revisited. The still root feeds memory.,"Present voice of Splitting Apart: 剝 bō — Earth over Mountain. Splitting Apart is the receptive meeting still, wait as dissipator.",Future signal from Splitting Apart: next move leans wait within dissipator. The Earth ascends from Mountain foundation.,24,43,False,False,23,Splitting Apart,000001,"mountain over earth, splitting apart"
24,Return,復,fù,䷗,100000,Zhen,Kun,Thunder,Earth,100,000,transformer,yao,YIELD,yin,4,0.8,0.85,0.25,0.3,0.1,renewal_light,earthy_patience,2,Past echo from Return: Earth below Thunder — Form dissolving into new shape revisited. The receptive root feeds memory.,"Present voice of Return: 復 fù — Thunder over Earth. Return is the arousing meeting receptive, yield as transformer.",Future signal from Return: next move leans yield within transformer. The Thunder ascends from Earth foundation.,23,44,False,False,32,Duration,011100,"earth over thunder, returning light"
25,Innocence,无妄,wú wàng,䷘,100111,Zhen,Qian,Thunder,Heaven,100,111,sovereign,yang,ASSERT,yang,4,0.88,0.9,0.2,0.2,0.05,spontaneous_nature,genesis_spark,1,Past echo from Innocence: Heaven below Thunder — Sovereign command echoing from genesis revisited. The creative root feeds memory.,"Present voice of Innocence: 无妄 wú wàng — Thunder over Heaven. Innocence is the arousing meeting creative, assert as sovereign.",Future signal from Innocence: next move leans assert within sovereign. The Thunder ascends from Heaven foundation.,26,46,False,False,18,Work on Decayed,011001,"heaven over thunder, innocence"
26,Taming Power of the Great,大畜,dà chù,䷙,111001,Qian,Gen,Heaven,Mountain,111,001,boundary,yin,ADAPT,yao,4,0.9,0.92,0.15,0.1,0.15,restrained_storage,quiet_strength,1,Past echo from Taming Power of the Great: Mountain below Heaven — Edge-state trembling between worlds revisited. The still root feeds memory.,"Present voice of Taming Power of the Great: 大畜 dà chù — Heaven over Mountain. Taming Power of the Great is the creative meeting still, adapt as boundary.",Future signal from Taming Power of the Great: next move leans adapt within boundary. The Heaven ascends from Mountain foundation.,25,45,False,False,25,Innocence,100111,"mountain over heaven, taming great power"
27,Corners of the Mouth,頤,yí,䷚,100001,Zhen,Gen,Thunder,Mountain,100,001,transformer,yao,YIELD,yin,4,0.75,0.7,0.3,0.4,0.2,sustaining_nourishment,earthy_patience,2,Past echo from Corners of the Mouth: Mountain below Thunder — Form dissolving into new shape revisited. The still root feeds memory.,"Present voice of Corners of the Mouth: 頤 yí — Thunder over Mountain. Corners of the Mouth is the arousing meeting still, yield as transformer.",Future signal from Corners of the Mouth: next move leans yield within transformer. The Thunder ascends from Mountain foundation.,,28,True,False,50,The Cauldron,011101,"mountain over thunder, nourishment"
28,Preponderance of the Great,大過,dà guò,䷛,011110,Xun,Dui,Wind,Lake,011,110,dissipator,yin,ADAPT,yao,4,0.45,0.25,0.7,0.15,0.55,excess_weight,deep_test,4,Past echo from Preponderance of the Great: Lake below Wind — Energy scattering before reassembly revisited. The joyous root feeds memory.,"Present voice of Preponderance of the Great: 大過 dà guò — Wind over Lake. Preponderance of the Great is the gentle meeting joyous, adapt as dissipator.",Future signal from Preponderance of the Great: next move leans adapt within dissipator. The Wind ascends from Lake foundation.,,27,True,False,4,Youthful Folly,100010,"lake over wind, great preponderance"
29,The Abysmal,坎,kǎn,䷜,010010,Kan,Kan,Water,Water,010,010,dissipator,yin,WAIT,yin,4,0.4,0.3,0.55,0.1,0.65,deep_test,persistent_clarity,4,Past echo from The Abysmal: Water below Water — Energy scattering before reassembly revisited. The abysmal root feeds memory.,"Present voice of The Abysmal: 坎 kǎn — Water over Water. The Abysmal is the abysmal meeting abysmal, wait as dissipator.",Future signal from The Abysmal: next move leans wait within dissipator. The Water ascends from Water foundation.,,30,True,False,29,The Abysmal,010010,"water over water, abysmal repetition"
30,The Clinging,離,lí,䷝,101101,Li,Li,Fire,Fire,101,101,boundary,yin,ADAPT,yao,4,0.78,0.75,0.3,0.2,0.25,persistent_clarity,attractive_pull,2,Past echo from The Clinging: Fire below Fire — Edge-state trembling between worlds revisited. The clinging root feeds memory.,"Present voice of The Clinging: 離 lí — Fire over Fire. The Clinging is the clinging meeting clinging, adapt as boundary.",Future signal from The Clinging: next move leans adapt within boundary. The Fire ascends from Fire foundation.,,29,True,False,30,The Clinging,101101,"fire over fire, clinging illumination"
31,Influence,咸,xián,䷞,001110,Gen,Dui,Mountain,Lake,001,110,transformer,yao,YIELD,yin,5,0.72,0.65,0.35,0.55,0.15,attractive_pull,harmonic_flow,2,Past echo from Influence: Lake below Mountain — Form dissolving into new shape revisited. The joyous root feeds memory.,"Present voice of Influence: 咸 xián — Mountain over Lake. Influence is the still meeting joyous, yield as transformer.",Future signal from Influence: next move leans yield within transformer. The Mountain ascends from Lake foundation.,32,42,False,False,31,Influence,001110,"lake over mountain, influential pull"
32,Duration,恆,héng,䷟,011100,Xun,Zhen,Wind,Thunder,011,100,boundary,yin,WAIT,yin,5,0.85,0.88,0.2,0.15,0.1,enduring_rhythm,gradual_patience,1,Past echo from Duration: Thunder below Wind — Edge-state trembling between worlds revisited. The arousing root feeds memory.,"Present voice of Duration: 恆 héng — Wind over Thunder. Duration is the gentle meeting arousing, wait as boundary.",Future signal from Duration: next move leans wait within boundary. The Wind ascends from Thunder foundation.,31,41,False,False,32,Duration,011100,"thunder over wind, duration"
33,Retreat,遯,dùn,䷠,001111,Gen,Qian,Mountain,Heaven,001,111,boundary,yin,YIELD,yin,5,0.7,0.8,0.25,0.1,0.3,strategic_withdrawal,earthy_patience,2,Past echo from Retreat: Heaven below Mountain — Edge-state trembling between worlds revisited. The creative root feeds memory.,"Present voice of Retreat: 遯 dùn — Mountain over Heaven. Retreat is the still meeting creative, yield as boundary.",Future signal from Retreat: next move leans yield within boundary. The Mountain ascends from Heaven foundation.,34,19,False,False,3,Difficulty at the Beginning,010001,"heaven over mountain, retreat"
34,Power of the Great,大壯,dà zhuàng,䷡,111100,Qian,Zhen,Heaven,Thunder,111,100,sovereign,yang,ASSERT,yang,5,0.9,0.85,0.3,0.2,0.2,unstoppable_momentum,genesis_spark,3,Past echo from Power of the Great: Thunder below Heaven — Sovereign command echoing from genesis revisited. The arousing root feeds memory.,"Present voice of Power of the Great: 大壯 dà zhuàng — Heaven over Thunder. Power of the Great is the creative meeting arousing, assert as sovereign.",Future signal from Power of the Great: next move leans assert within sovereign. The Heaven ascends from Thunder foundation.,33,20,False,False,41,Decrease,100011,"thunder over heaven, great power"
35,Progress,晉,jìn,䷢,000101,Kun,Li,Earth,Fire,000,101,transformer,yao,ADAPT,yao,5,0.82,0.8,0.2,0.3,0.05,advancing_clarity,seasonal_turning,2,Past echo from Progress: Fire below Earth — Form dissolving into new shape revisited. The clinging root feeds memory.,"Present voice of Progress: 晉 jìn — Earth over Fire. Progress is the receptive meeting clinging, adapt as transformer.",Future signal from Progress: next move leans adapt within transformer. The Earth ascends from Fire foundation.,36,6,False,False,57,The Gentle,011011,"fire over earth, progress"
36,Darkening of the Light,明夷,míng yí,䷣,101000,Li,Kun,Fire,Earth,101,000,dissipator,yin,WAIT,yin,5,0.4,0.2,0.6,0.1,0.7,inner_light_obscured,excess_weight,4,Past echo from Darkening of the Light: Earth below Fire — Energy scattering before reassembly revisited. The receptive root feeds memory.,"Present voice of Darkening of the Light: 明夷 míng yí — Fire over Earth. Darkening of the Light is the clinging meeting receptive, wait as dissipator.",Future signal from Darkening of the Light: next move leans wait within dissipator. The Fire ascends from Earth foundation.,35,5,False,False,58,The Joyous,110110,"earth over fire, darkening"
37,The Family,家人,jiā rén,䷤,101011,Li,Xun,Fire,Wind,101,011,transformer,yao,YIELD,yin,5,0.8,0.88,0.15,0.3,0.05,structural_bonds,warm_cooperation,1,Past echo from The Family: Wind below Fire — Form dissolving into new shape revisited. The gentle root feeds memory.,"Present voice of The Family: 家人 jiā rén — Fire over Wind. The Family is the clinging meeting gentle, yield as transformer.",Future signal from The Family: next move leans yield within transformer. The Fire ascends from Wind foundation.,38,39,False,False,51,The Arousing,100100,"wind over fire, family structure"
38,Opposition,睽,kuí,䷥,110101,Dui,Li,Lake,Fire,110,101,dissipator,yin,ADAPT,yao,5,0.5,0.35,0.65,0.25,0.5,divergent_strife,adversarial_sharp,4,Past echo from Opposition: Fire below Lake — Energy scattering before reassembly revisited. The clinging root feeds memory.,"Present voice of Opposition: 睽 kuí — Lake over Fire. Opposition is the joyous meeting clinging, adapt as dissipator.",Future signal from Opposition: next move leans adapt within dissipator. The Lake ascends from Fire foundation.,37,40,False,False,26,Taming Power of the Great,111001,"fire over lake, opposition"
39,Obstruction,蹇,jiǎn,䷦,010100,Gen,Kan,Mountain,Water,001,010,dissipator,yin,WAIT,yin,5,0.55,0.4,0.55,0.15,0.45,blocked_path,deep_test,3,Past echo from Obstruction: Water below Mountain — Energy scattering before reassembly revisited. The abysmal root feeds memory.,"Present voice of Obstruction: 蹇 jiǎn — Mountain over Water. Obstruction is the still meeting abysmal, wait as dissipator.",Future signal from Obstruction: next move leans wait within dissipator. The Mountain ascends from Water foundation.,40,37,False,False,39,Obstruction,010100,"water over mountain, obstruction"
40,Deliverance,解,xiè,䷧,001010,Kan,Zhen,Water,Thunder,010,100,transformer,yao,ADAPT,yao,5,0.7,0.6,0.4,0.45,0.2,breaking_storm,renewal_light,3,Past echo from Deliverance: Thunder below Water — Form dissolving into new shape revisited. The arousing root feeds memory.,"Present voice of Deliverance: 解 xiè — Water over Thunder. Deliverance is the abysmal meeting arousing, adapt as transformer.",Future signal from Deliverance: next move leans adapt within transformer. The Water ascends from Thunder foundation.,39,38,False,False,35,Progress,000101,"thunder over water, deliverance"
41,Decrease,損,sǔn,䷨,100011,Dui,Gen,Lake,Mountain,110,001,transformer,yao,YIELD,yin,6,0.78,0.85,0.2,0.2,0.1,serving_loss,earthy_patience,1,Past echo from Decrease: Mountain below Lake — Form dissolving into new shape revisited. The still root feeds memory.,"Present voice of Decrease: 損 sǔn — Lake over Mountain. Decrease is the joyous meeting still, yield as transformer.",Future signal from Decrease: next move leans yield within transformer. The Lake ascends from Mountain foundation.,42,32,False,False,41,Decrease,100011,"mountain over lake, decrease"
42,Increase,益,yì,䷩,110001,Zhen,Xun,Thunder,Wind,100,011,transformer,yao,ASSERT,yang,6,0.85,0.82,0.25,0.35,0.05,abundant_growth,advancing_clarity,2,Past echo from Increase: Wind below Thunder — Form dissolving into new shape revisited. The gentle root feeds memory.,"Present voice of Increase: 益 yì — Thunder over Wind. Increase is the arousing meeting gentle, assert as transformer.",Future signal from Increase: next move leans assert within transformer. The Thunder ascends from Wind foundation.,41,31,False,False,42,Increase,110001,"wind over thunder, increase"
43,Breakthrough,夬,guài,䷪,111110,Qian,Dui,Heaven,Lake,111,110,sovereign,yang,ASSERT,yang,6,0.92,0.88,0.3,0.15,0.2,decisive_resolution,genesis_spark,1,Past echo from Breakthrough: Lake below Heaven — Sovereign command echoing from genesis revisited. The joyous root feeds memory.,"Present voice of Breakthrough: 夬 guài — Heaven over Lake. Breakthrough is the creative meeting joyous, assert as sovereign.",Future signal from Breakthrough: next move leans assert within sovereign. The Heaven ascends from Lake foundation.,44,23,False,False,60,Limitation,110010,"lake over heaven, breakthrough"
44,Coming to Meet,姤,gòu,䷫,011111,Xun,Qian,Wind,Heaven,011,111,boundary,yin,WAIT,yin,6,0.55,0.45,0.5,0.2,0.4,unexpected_vigilance,divergent_strife,3,Past echo from Coming to Meet: Heaven below Wind — Edge-state trembling between worlds revisited. The creative root feeds memory.,"Present voice of Coming to Meet: 姤 gòu — Wind over Heaven. Coming to Meet is the gentle meeting creative, wait as boundary.",Future signal from Coming to Meet: next move leans wait within boundary. The Wind ascends from Heaven foundation.,43,24,False,False,41,Decrease,100011,"heaven over wind, coming to meet"
45,Gathering Together,萃,cuì,䷬,000110,Kun,Dui,Earth,Lake,000,110,transformer,yao,YIELD,yin,6,0.8,0.8,0.2,0.4,0.05,collective_assembly,harmonic_flow,2,Past echo from Gathering Together: Lake below Earth — Form dissolving into new shape revisited. The joyous root feeds memory.,"Present voice of Gathering Together: 萃 cuì — Earth over Lake. Gathering Together is the receptive meeting joyous, yield as transformer.",Future signal from Gathering Together: next move leans yield within transformer. The Earth ascends from Lake foundation.,46,26,False,False,46,Pushing Upward,011000,"lake over earth, gathering"
46,Pushing Upward,升,shēng,䷭,011000,Xun,Kun,Wind,Earth,011,000,transformer,yao,ADAPT,yao,6,0.82,0.82,0.25,0.3,0.05,steady_ascent,advancing_clarity,2,Past echo from Pushing Upward: Earth below Wind — Form dissolving into new shape revisited. The receptive root feeds memory.,"Present voice of Pushing Upward: 升 shēng — Wind over Earth. Pushing Upward is the gentle meeting receptive, adapt as transformer.",Future signal from Pushing Upward: next move leans adapt within transformer. The Wind ascends from Earth foundation.,45,25,False,False,17,Following,100110,"earth over wind, pushing upward"
47,Oppression,困,kùn,䷮,010110,Kan,Dui,Water,Lake,010,110,dissipator,yin,WAIT,yin,6,0.4,0.2,0.7,0.05,0.6,exhausted_spirit,deep_test,4,Past echo from Oppression: Lake below Water — Energy scattering before reassembly revisited. The joyous root feeds memory.,"Present voice of Oppression: 困 kùn — Water over Lake. Oppression is the abysmal meeting joyous, wait as dissipator.",Future signal from Oppression: next move leans wait within dissipator. The Water ascends from Lake foundation.,48,22,False,False,47,Oppression,010110,"lake over water, oppression"
48,The Well,井,jǐng,䷯,011010,Xun,Kan,Wind,Water,011,010,boundary,yin,YIELD,yin,6,0.8,0.85,0.2,0.25,0.15,community_source,soft_persistence,1,Past echo from The Well: Water below Wind — Edge-state trembling between worlds revisited. The abysmal root feeds memory.,"Present voice of The Well: 井 jǐng — Wind over Water. The Well is the gentle meeting abysmal, yield as boundary.",Future signal from The Well: next move leans yield within boundary. The Wind ascends from Water foundation.,47,21,False,False,17,Following,100110,"water over wind, the well"
49,Revolution,革,gé,䷰,101110,Li,Dui,Fire,Lake,101,110,transformer,yao,ASSERT,yang,6,0.65,0.45,0.6,0.3,0.4,upheaval_fire,decisive_cutting,4,Past echo from Revolution: Lake below Fire — Form dissolving into new shape revisited. The joyous root feeds memory.,"Present voice of Revolution: 革 gé — Fire over Lake. Revolution is the clinging meeting joyous, assert as transformer.",Future signal from Revolution: next move leans assert within transformer. The Fire ascends from Lake foundation.,50,3,False,False,4,Youthful Folly,100010,"lake over fire, revolution"
50,The Cauldron,鼎,dǐng,䷱,011101,Xun,Li,Wind,Fire,011,101,sovereign,yang,ASSERT,yang,6,0.88,0.88,0.2,0.2,0.1,transformative_vessel,persistent_clarity,2,Past echo from The Cauldron: Fire below Wind — Sovereign command echoing from genesis revisited. The clinging root feeds memory.,"Present voice of The Cauldron: 鼎 dǐng — Wind over Fire. The Cauldron is the gentle meeting clinging, assert as sovereign.",Future signal from The Cauldron: next move leans assert within sovereign. The Wind ascends from Fire foundation.,49,4,False,False,27,Corners of the Mouth,100001,"fire over wind, the cauldron"
