hexagram_id,name,binary,category,action,agent_type,domain,upper_trigram,lower_trigram,element_subset,source,s1_bit,s1_trigram,s1_element,s2_bit,s2_trigram,s2_element,s3_bit,s3_trigram,s3_element,s4_bit,s4_trigram,s4_element,s5_bit,s5_trigram,s5_element,s6_bit,s6_trigram,s6_element
18,Work on Decayed,011001,dissipator,ADAPT,navigator,adaptation,Xun,Gen,wind,immutable_table,0,Xun,wind,1,Xun,wind,1,Xun,wind,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain
19,Approach,110000,transformer,YIELD,integrator,reception,Kun,Dui,earth,immutable_table,1,Dui,lake,1,Dui,lake,0,Dui,lake,0,Kun,earth,0,Kun,earth,0,Kun,earth
20,Contemplation,000011,boundary,WAIT,guardian,patience,Xun,Kun,wind,immutable_table,0,Kun,earth,0,Kun,earth,0,Kun,earth,0,Xun,wind,1,Xun,wind,1,Xun,wind
21,Biting Through,100101,transformer,ASSERT,integrator,assertion,Zhen,Li,thunder,immutable_table,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder,1,Li,fire,0,Li,fire,1,Li,fire
22,Grace,101001,boundary,WAIT,guardian,patience,Li,Gen,fire,immutable_table,1,Li,fire,0,Li,fire,1,Li,fire,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain
23,Splitting Apart,000001,dissipator,WAIT,navigator,patience,Kun,Gen,earth,immutable_table,0,Kun,earth,0,Kun,earth,0,Kun,earth,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain
24,Return,100000,transformer,YIELD,integrator,reception,Zhen,Kun,thunder,immutable_table,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder,0,Kun,earth,0,Kun,earth,0,Kun,earth
25,Innocence,100111,sovereign,ASSERT,architect,assertion,Zhen,Qian,thunder,immutable_table,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven
26,Taming Power of the Great,111001,boundary,ADAPT,guardian,adaptation,Qian,Gen,heaven,immutable_table,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain
27,Corners of the Mouth,100001,transformer,YIELD,integrator,reception,Zhen,Gen,thunder,immutable_table,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain
28,Preponderance of the Great,011110,dissipator,ADAPT,navigator,adaptation,Xun,Dui,wind,immutable_table,0,Xun,wind,1,Xun,wind,1,Xun,wind,1,Dui,lake,1,Dui,lake,0,Dui,lake
29,The Abysmal,010010,dissipator,WAIT,navigator,patience,Kan,Kan,water,immutable_table,0,Kan,water,1,Kan,water,0,Kan,water,0,Kan,water,1,Kan,water,0,Kan,water
30,The Clinging,101101,boundary,ADAPT,guardian,adaptation,Li,Li,fire,immutable_table,1,Li,fire,0,Li,fire,1,Li,fire,1,Li,fire,0,Li,fire,1,Li,fire
31,Influence,001110,transformer,YIELD,integrator,reception,Gen,Dui,mountain,immutable_table,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain,1,Dui,lake,1,Dui,lake,0,Dui,lake
32,Duration,011100,boundary,WAIT,guardian,patience,Xun,Zhen,wind,immutable_table,0,Xun,wind,1,Xun,wind,1,Xun,wind,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder
33,Retreat,001111,boundary,YIELD,guardian,reception,Gen,Qian,mountain,immutable_table,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven
34,Power of the Great,111100,sovereign,ASSERT,architect,assertion,Qian,Zhen,heaven,immutable_table,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder
35,Progress,000101,transformer,ADAPT,integrator,adaptation,Kun,Li,earth,immutable_table,0,Kun,earth,0,Kun,earth,0,Kun,earth,1,Li,fire,0,Li,fire,1,Li,fire
36,Darkening of the Light,101000,dissipator,WAIT,navigator,patience,Li,Kun,fire,immutable_table,1,Li,fire,0,Li,fire,1,Li,fire,0,Kun,earth,0,Kun,earth,0,Kun,earth
37,The Family,101011,transformer,YIELD,integrator,reception,Li,Xun,fire,immutable_table,1,Li,fire,0,Li,fire,1,Li,fire,0,Xun,wind,1,Xun,wind,1,Xun,wind
38,Opposition,110101,dissipator,ADAPT,navigator,adaptation,Dui,Li,lake,immutable_table,1,Dui,lake,1,Dui,lake,0,Dui,lake,1,Li,fire,0,Li,fire,1,Li,fire
39,Obstruction,010100,dissipator,WAIT,navigator,patience,Gen,Kan,mountain,immutable_table,0,Kan,water,1,Kan,water,0,Kan,water,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder
40,Deliverance,001010,transformer,ADAPT,integrator,adaptation,Kan,Zhen,water,immutable_table,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain,0,Kan,water,1,Kan,water,0,Kan,water
41,Decrease,100011,transformer,YIELD,integrator,reception,Dui,Gen,lake,immutable_table,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder,0,Xun,wind,1,Xun,wind,1,Xun,wind
42,Increase,110001,transformer,ASSERT,integrator,assertion,Zhen,Xun,thunder,immutable_table,1,Dui,lake,1,Dui,lake,0,Dui,lake,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain
43,Breakthrough,111110,sovereign,ASSERT,architect,assertion,Qian,Dui,heaven,immutable_table,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven,1,Dui,lake,1,Dui,lake,0,Dui,lake
44,Coming to Meet,011111,boundary,WAIT,guardian,patience,Xun,Qian,wind,immutable_table,0,Xun,wind,1,Xun,wind,1,Xun,wind,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven
45,Gathering Together,000110,transformer,YIELD,integrator,reception,Kun,Dui,earth,immutable_table,0,Kun,earth,0,Kun,earth,0,Kun,earth,1,Dui,lake,1,Dui,lake,0,Dui,lake
46,Pushing Upward,011000,transformer,ADAPT,integrator,adaptation,Xun,Kun,wind,immutable_table,0,Xun,wind,1,Xun,wind,1,Xun,wind,0,Kun,earth,0,Kun,earth,0,Kun,earth
47,Oppression,010110,dissipator,WAIT,navigator,patience,Kan,Dui,water,immutable_table,0,Kan,water,1,Kan,water,0,Kan,water,1,Dui,lake,1,Dui,lake,0,Dui,lake
48,The Well,011010,boundary,YIELD,guardian,reception,Xun,Kan,wind,immutable_table,0,Xun,wind,1,Xun,wind,1,Xun,wind,0,Kan,water,1,Kan,water,0,Kan,water
49,Revolution,101110,transformer,ASSERT,integrator,assertion,Li,Dui,fire,immutable_table,1,Li,fire,0,Li,fire,1,Li,fire,1,Dui,lake,1,Dui,lake,0,Dui,lake
50,The Cauldron,011101,sovereign,ASSERT,architect,assertion,Xun,Li,wind,immutable_table,0,Xun,wind,1,Xun,wind,1,Xun,wind,1,Li,fire,0,Li,fire,1,Li,fire
51,The Arousing,100100,sovereign,ASSERT,architect,assertion,Zhen,Zhen,thunder,immutable_table,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder
52,Keeping Still,001001,boundary,WAIT,guardian,patience,Gen,Gen,mountain,immutable_table,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain
53,Development,001011,transformer,ADAPT,integrator,adaptation,Gen,Xun,mountain,immutable_table,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain,0,Xun,wind,1,Xun,wind,1,Xun,wind
54,The Marrying Maiden,110100,dissipator,YIELD,navigator,reception,Dui,Zhen,lake,immutable_table,1,Dui,lake,1,Dui,lake,0,Dui,lake,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder
55,Abundance,001101,sovereign,ASSERT,architect,assertion,Li,Zhen,fire,immutable_table,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain,1,Li,fire,0,Li,fire,1,Li,fire
56,The Wanderer,101100,dissipator,ADAPT,navigator,adaptation,Gen,Li,mountain,immutable_table,1,Li,fire,0,Li,fire,1,Li,fire,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder
57,The Gentle,011011,boundary,YIELD,guardian,reception,Xun,Xun,wind,immutable_table,0,Xun,wind,1,Xun,wind,1,Xun,wind,0,Xun,wind,1,Xun,wind,1,Xun,wind
58,The Joyous,110110,transformer,YIELD,integrator,reception,Dui,Dui,lake,immutable_table,1,Dui,lake,1,Dui,lake,0,Dui,lake,1,Dui,lake,1,Dui,lake,0,Dui,lake
59,Dispersion,010011,dissipator,ADAPT,navigator,adaptation,Kan,Xun,water,immutable_table,0,Kan,water,1,Kan,water,0,Kan,water,0,Xun,wind,1,Xun,wind,1,Xun,wind
60,Limitation,110010,boundary,WAIT,guardian,patience,Dui,Kan,lake,immutable_table,1,Dui,lake,1,Dui,lake,0,Dui,lake,0,Kan,water,1,Kan,water,0,Kan,water
61,Inner Truth,110011,transformer,YIELD,integrator,reception,Dui,Xun,lake,immutable_table,1,Dui,lake,1,Dui,lake,0,Dui,lake,0,Xun,wind,1,Xun,wind,1,Xun,wind
62,Preponderance of the Small,001100,dissipator,WAIT,navigator,patience,Zhen,Gen,thunder,immutable_table,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder
63,After Completion,101010,boundary,WAIT,guardian,patience,Li,Kan,fire,immutable_table,1,Li,fire,0,Li,fire,1,Li,fire,0,Kan,water,1,Kan,water,0,Kan,water
64,Before Completion,010101,transformer,ADAPT,integrator,adaptation,Kan,Li,water,immutable_table,0,Kan,water,1,Kan,water,0,Kan,water,1,Li,fire,0,Li,fire,1,Li,fire
